,t2,aud,cad,chf,eur,gbp,jpy,nzd,sek,usd,,,,point,t1,t2,aud,cad,chf,eur,gbp,jpy,nzd,sek,usd
0,1,4.41063,5.555,1.8198,4.012,5.7599,0.01,5.7228,4.24,5.3579,,,-0.275171575,1y1y,1,2,4.135458425,4.711813786,1.718407447,3.309034122,5.191440312,0.254912507,5.124431745,3.688121833,4.158267919
1,2,4.28375,5.161,1.7728,3.674,5.5095,0.1325,5.44,3.9725,4.7685,,,,1y2y,1,3,3.999981253,4.404333341,1.700807901,3.109335842,4.885917946,0.351038769,4.823461842,3.460231584,3.874755131
2,3,4.1502,4.8198,1.7453,3.426,5.217,0.2375,5.1425,3.73,4.3811,,,,1y3y,1,4,3.986179095,4.144890747,1.684694693,3.00392389,4.668701981,0.424656446,4.655535701,3.310522234,3.746946393
3,4,4.1072,4.529,1.7238,3.2725,4.9822,0.32125,4.9425,3.553,4.1623,,,,1y4y,1,5,4.030895896,3.987619979,1.669324174,2.951887757,4.502177903,0.501678828,4.554469296,3.210338612,3.685174492
4,5,4.12312,4.3322,1.705,3.181,4.794,0.40375,4.8087,3.4264,4.0328,,,,1y5y,1,6,4.105548933,3.921692256,1.675014035,2.93044585,4.371035139,0.588273574,4.544795897,3.153772338,3.657629682
5,6,4.174,4.2253,1.705,3.1283,4.642,0.4925,4.7625,3.345,3.9545,,,,1y6y,1,7,4.179877217,3.88576717,1.68169927,2.924577776,4.271630528,0.678383076,4.520586189,3.119686621,3.641368478
6,7,4.23162,4.156,1.7075,3.098,4.523,0.58375,4.7141,3.29,3.9004,,,,1y7y,1,8,4.246288713,3.882233609,1.69001555,2.929302767,4.199961519,0.758734591,4.525655704,3.104119802,3.634586944
7,8,4.28662,4.1238,1.7125,3.0832,4.4332,0.66625,4.6976,3.2565,3.8641,,,,1y8y,1,9,4.302660431,3.875880347,1.700280561,2.938841025,4.151293132,0.831114756,4.53638859,3.089714563,3.63521839
8,9,4.3353,4.0954,1.72,3.0771,4.368,0.74125,4.691,3.228,3.841,,,,1y9y,1,10,4.346364174,3.870848709,1.712670611,2.955867284,4.121211029,0.899837878,4.551633236,3.087657708,3.63997875
9,10,4.37412,4.0726,1.73,3.081,4.323,0.8125,4.692,3.2135,3.8264,,,,1y10y,1,11,4.383632566,3.876401837,1.725903991,2.974517627,4.100463,0.963680819,4.572156651,3.088385723,3.648453597
10,11,4.408003497,4.062831717,1.741227852,3.088833648,4.289269897,0.878908099,4.70047771,3.203811754,3.818737742,,,,1y11y,1,12,4.415861454,3.891082644,1.738980883,2.991676336,4.085544977,1.022668689,4.596545605,3.08783023,3.659500005
11,12,4.437851424,4.06417301,1.752665048,3.097129932,4.263092094,0.940483978,4.714588603,3.194674752,3.816158325,,,,1y12y,1,13,4.442479429,3.911184604,1.751108017,3.00561177,4.074741753,1.077489351,4.623541815,3.085312644,3.671435609
12,13,4.462885602,4.072718446,1.763488318,3.103809392,4.242479342,0.997855808,4.732760641,3.185031873,3.816520036,,,,1y13y,1,14,4.462854414,3.932963431,1.761485282,3.014495291,4.066266538,1.128811617,4.651796066,3.080040374,3.682442862
13,14,4.482327854,4.084562587,1.772874392,3.106792568,4.225444394,1.051651758,4.753421787,3.173825996,3.817681165,,,,1y14y,1,15,4.476315239,3.952651459,1.769308185,3.016435708,4.058286503,1.177291828,4.679900865,3.07114748,3.69061738
14,15,4.4954,4.0958,1.78,3.104,4.21,1.1025,4.775,3.16,3.8175,,,,1y15y,1,16,4.482395972,3.967136534,1.773998427,3.010124649,4.049313503,1.223327428,4.706712519,3.058007155,3.694393313
15,16,4.501543278,4.103166882,1.784258619,3.093947268,4.194518252,1.150792611,4.796210237,3.142769011,3.814210031,,,,1y16y,1,17,4.481531007,3.975957458,1.775885017,2.996704921,4.039328315,1.266316578,4.73226126,3.041102412,3.69373827
16,17,4.501076594,4.105965961,1.785910716,3.077530117,4.178808594,1.1959773,4.81691543,3.122437149,3.807545553,,,,1y17y,1,18,4.474356195,3.979266351,1.775507684,2.977877929,4.028644975,1.305422245,4.756838625,3.021159544,3.688958971
17,18,4.494538272,4.1041416,1.785433503,3.056239332,4.163039811,1.237265684,4.837265504,3.099580781,3.797616058,,,,1y18y,1,19,4.461484116,3.97716913,1.773391261,2.955293151,4.017544516,1.339820216,4.780704269,2.99887052,3.680317965
18,19,4.482466633,4.097638159,1.783304193,3.031565698,4.147380685,1.273869378,4.857410386,3.074776276,3.784531042,,,,1y19y,1,20,4.443510212,3.969737573,1.770049633,2.930562164,4.006283672,1.368695663,4.804094348,2.974902066,3.668045252
19,20,4.4654,4.0864,1.78,3.005,4.132,1.305,4.8775,3.0486,3.7684,,,,1y20y,1,21,4.421122085,3.957181248,1.765925575,2.90506179,3.995049181,1.391535112,4.82712476,2.949882733,3.652459697
20,21,4.443977791,4.070530356,1.77593767,2.977833279,4.117016215,1.330151456,4.897585341,3.021609802,3.749441332,,,,1y21y,1,22,4.395415685,3.940341166,1.761205058,2.879324603,3.983807721,1.409002354,4.849489383,2.924349873,3.634312711
21,22,4.419243798,4.050767945,1.771292088,2.950557599,4.102346489,1.349946821,4.917321677,2.994289453,3.728309065,,,,1y22y,1,23,4.367579982,3.920199726,1.756009099,2.853668924,3.972465699,1.422045811,4.870773733,2.89881133,3.614449733
22,23,4.392342911,4.028010356,1.76617767,2.923465279,4.087857655,1.365291456,4.936265341,2.967104202,3.705766132,,,,1y23y,1,24,4.338794273,3.897721549,1.750457397,2.82840797,3.960923075,1.431604983,4.890559284,2.87376706,3.593700733
23,24,4.364420015,4.003155178,1.760708835,2.896848639,4.073416548,1.377090728,4.953972671,2.940519301,3.682575466,,,,1y24y,1,25,4.3102303,3.87385734,1.744668605,2.803850949,3.949074702,1.438612367,4.908424314,2.849710801,3.572883483
24,25,4.33662,3.9771,1.755,2.871,4.05889,1.38625,4.97,2.915,3.6595,,,,1y25y,1,26,4.282814018,3.849404529,1.738745204,2.780217678,3.936841385,1.443898789,4.92409321,2.826998575,3.552644816
25,26,4.309854679,3.950602893,1.749150699,2.846127616,4.044174327,1.393581563,4.984048398,2.890882979,3.63714624,,,,1y26y,1,27,4.256510067,3.824584171,1.732727807,2.757381556,3.924260488,1.447907298,4.937881166,2.805452897,3.532980709
26,27,4.284103572,3.923863857,1.743200932,2.822103488,4.02928377,1.399525417,4.996397863,2.867990639,3.615494987,,,,1y27y,1,28,4.231046182,3.799471791,1.726641587,2.735130038,3.911395878,1.450984133,4.950245858,2.784764047,3.513724149
27,28,4.259113125,3.896943375,1.737175815,2.798715552,4.014262049,1.40442849,5.007473131,2.846016809,3.594370614,,,,1y28y,1,29,4.206153107,3.774140619,1.720511679,2.713251005,3.898308426,1.453475245,4.961639464,2.764623075,3.494707093
28,29,4.234629786,3.869901929,1.731100466,2.775751744,3.999152885,1.408637709,5.017698932,2.82465532,3.573597494,,,,1y29y,1,30,4.181564075,3.748661991,1.714363187,2.691532672,3.885056531,1.455726357,4.972509616,2.744721657,3.475760638
29,30,4.2104,3.8428,1.725,2.753,3.984,1.4125,5.0275,2.8036,3.553,,,,2y1y,2,3,3.864504081,4.096852897,1.683208356,2.909637562,4.58039558,0.44716503,4.522491938,3.232341334,3.591242344
,,,,,,,,,,,,,,2y2y,2,4,3.91153943,3.861429228,1.667838317,2.851368773,4.407332815,0.509528415,4.421087678,3.121722434,3.54128563
,,,,,,,,,,,,,,2y3y,2,5,3.996041719,3.746222043,1.652963083,2.832838969,4.272423767,0.583934268,4.364481813,3.051077538,3.527476682
,,,,,,,,,,,,,,2y4y,2,6,4.09807156,3.724161873,1.664165682,2.835798782,4.165933846,0.67161384,4.399886936,3.020184964,3.532470123
,,,,,,,,,,,,,,2y5y,2,7,4.188760976,3.720557847,1.674357635,2.847686506,4.087668571,0.76307719,4.399817078,3.005999578,3.53798859
,,,,,,,,,,,,,,2y6y,2,8,4.264760428,3.743970246,1.685283567,2.866014208,4.034715053,0.842704938,4.425859697,3.00678613,3.547306782
,,,,,,,,,,,,,,2y7y,2,9,4.326546432,3.756461285,1.697691006,2.885956296,4.002700677,0.913429363,4.452382425,3.00422781,3.560497029
,,,,,,,,,,,,,,2y8y,2,10,4.372727393,3.765728074,1.711953506,2.911721429,3.987432368,0.98045355,4.480033422,3.012599693,3.575192604
,,,,,,,,,,,,,,2y9y,2,11,4.411207471,3.783578287,1.726736941,2.937349127,3.979243299,1.042432853,4.510792751,3.021748377,3.591807561
,,,,,,,,,,,,,,2y10y,2,12,4.443901757,3.80900953,1.741038226,2.959940558,3.974955443,1.099444307,4.543756991,3.02780107,3.609623213
,,,,,,,,,,,,,,2y11y,2,13,4.470390429,3.838400133,1.754080796,2.97802792,3.973223703,1.152269064,4.578006367,3.030511808,3.627178127
,,,,,,,,,,,,,,2y12y,2,14,4.490137413,3.868059234,1.765075102,2.989950389,3.972502057,1.201636543,4.61240976,3.029366919,3.642790774
,,,,,,,,,,,,,,2y13y,2,15,4.502534994,3.894254357,1.773223627,2.993928137,3.971120825,1.248244083,4.645706182,3.023687915,3.654644262
,,,,,,,,,,,,,,2y14y,2,16,4.507177226,3.913945302,1.777969211,2.988773973,3.967733017,1.292499922,4.676875431,3.012998964,3.661259412
,,,,,,,,,,,,,,2y15y,2,17,4.504602512,3.92690037,1.779716855,2.975882975,3.962520848,1.333743516,4.706116561,2.997967784,3.662769627
,,,,,,,,,,,,,,2y16y,2,18,4.495537306,3.933482136,1.779076449,2.957180667,3.955970266,1.371079104,4.733864055,2.979474401,3.659627161
,,,,,,,,,,,,,,2y17y,2,19,4.480662098,3.933954738,1.776625603,2.934484858,3.948491823,1.403638316,4.760485006,2.958326325,3.652203262
,,,,,,,,,,,,,,2y18y,2,20,4.4606242,3.928511116,1.772918643,2.909535944,3.940441637,1.430572505,4.786297825,2.935278746,3.640810659
,,,,,,,,,,,,,,2y19y,2,21,4.436157015,3.917463746,1.768426529,2.883800088,3.932081227,1.451357354,4.811477024,2.911028044,3.625838212
,,,,,,,,,,,,,,2y20y,2,22,4.408413548,3.901767535,1.763344938,2.857839127,3.923426091,1.466706847,4.835742265,2.886161275,3.60811495
,,,,,,,,,,,,,,2y21y,2,23,4.378633389,3.882503819,1.757799654,2.831984867,3.914419288,1.477623588,4.85869478,2.861225115,3.588553629
,,,,,,,,,,,,,,2y22y,2,24,4.348036811,3.860717357,1.751914213,2.806561327,3.904990474,1.485091005,4.879928718,2.836750934,3.568038588
,,,,,,,,,,,,,,2y23y,2,25,4.317829077,3.837424451,1.745810394,2.781886463,3.895058806,1.490077578,4.899032686,2.813258148,3.547431985
,,,,,,,,,,,,,,2y24y,2,26,4.288953835,3.81347081,1.73959261,2.75818366,3.884566429,1.493439884,4.915745771,2.791118439,3.52741052
,,,,,,,,,,,,,,2y25y,2,27,4.261352133,3.789094986,1.733300622,2.735315453,3.873573295,1.49562709,4.930419143,2.770146139,3.50796922
,,,,,,,,,,,,,,2y26y,2,28,4.234722634,3.764381714,1.726958285,2.713056804,3.862163399,1.496986888,4.9435464,2.750019517,3.488934004
,,,,,,,,,,,,,,2y27y,2,29,4.208771428,3.739411983,1.720589613,2.691184964,3.850414652,1.497866458,4.95561012,2.730419417,3.470130766
,,,,,,,,,,,,,,2y28y,2,30,4.183210706,3.714263712,1.714218749,2.669479049,3.838399967,1.498612566,4.967083826,2.711028794,3.451385378
,,,,,,,,,,,,,,3y1y,3,4,3.958574778,3.626005558,1.652468278,2.793099984,4.234270049,0.5718918,4.319683419,3.011103535,3.491328916
,,,,,,,,,,,,,,3y2y,3,5,4.061810538,3.570906617,1.637840446,2.794439672,4.11843786,0.652318887,4.28547675,2.96044564,3.495593852
,,,,,,,,,,,,,,3y3y,3,6,4.175927386,3.599931532,1.657818124,2.811185855,4.027779934,0.74643011,4.359018601,2.949466174,3.512879382
,,,,,,,,,,,,,,3y4y,3,7,4.2698252,3.626484084,1.672144954,2.832198743,3.964486819,0.84205523,4.369148363,2.949414139,3.524675151
,,,,,,,,,,,,,,3y5y,3,8,4.344811698,3.673393716,1.68569861,2.857289537,3.925578947,0.92181292,4.406533248,2.961675089,3.53851967
,,,,,,,,,,,,,,3y6y,3,9,4.40355349,3.699729349,1.700104781,2.882009419,3.906418194,0.991140086,4.440697506,2.96620889,3.55537281
,,,,,,,,,,,,,,3y7y,3,10,4.445330723,3.718424528,1.716059956,2.912019124,3.902723338,1.056637624,4.47396792,2.98120803,3.572899784
,,,,,,,,,,,,,,3y8y,3,11,4.479545395,3.744418961,1.732178014,2.940813073,3.904099264,1.116841331,4.509330353,2.995424257,3.591878213
,,,,,,,,,,,,,,3y9y,3,12,4.508279277,3.777026933,1.747463768,2.965529779,3.907684317,1.171919782,4.546119774,3.005074374,3.611665532
,,,,,,,,,,,,,,3y10y,3,13,4.530979064,3.812554856,1.76116804,2.984866956,3.912506515,1.222779467,4.58355781,3.010328856,3.630771705
,,,,,,,,,,,,,,3y11y,3,14,4.54701317,3.847259811,1.772517533,2.997251555,3.91723901,1.270224863,4.620584107,3.010914699,3.647476995
,,,,,,,,,,,,,,3y12y,3,15,4.555704237,3.877371145,1.780724899,3.000952352,3.920347929,1.315000671,4.655974036,3.00630013,3.659927755
,,,,,,,,,,,,,,3y13y,3,16,4.556613621,3.899875487,1.785258508,2.994861389,3.920605127,1.357525683,4.688751085,2.996126474,3.66664534
,,,,,,,,,,,,,,3y14y,3,17,4.550323829,3.914760903,1.78661032,2.98061479,3.918386939,1.397070551,4.719232605,2.981226816,3.667878719
,,,,,,,,,,,,,,3y15y,3,18,4.537606188,3.922590752,1.785467655,2.960350207,3.914341912,1.432673375,4.747955529,2.962616605,3.664186149
,,,,,,,,,,,,,,3y16y,3,19,4.519171974,3.923773604,1.782464181,2.936037814,3.908997838,1.463417897,4.775359573,2.941200386,3.656013319
,,,,,,,,,,,,,,3y17y,3,20,4.49569009,3.918608659,1.778195719,2.909529966,3.902797287,1.488420004,4.801815819,2.917804476,3.643726442
,,,,,,,,,,,,,,3y18y,3,21,4.467915511,3.907497682,1.773160872,2.882364673,3.896063763,1.507145817,4.827531751,2.893177305,3.627760205
,,,,,,,,,,,,,,3y19y,3,22,4.437040362,3.891499884,1.767562653,2.855112894,3.88884875,1.520366942,4.852229124,2.867941272,3.609002982
,,,,,,,,,,,,,,3y20y,3,23,4.404339855,3.871786365,1.761529219,2.828102232,3.881120474,1.529146516,4.875504922,2.842669304,3.588419193
,,,,,,,,,,,,,,3y21y,3,24,4.37106218,3.849472807,1.75518592,2.801652934,3.872828326,1.534516051,4.896949517,2.817913296,3.566933647
,,,,,,,,,,,,,,3y22y,3,25,4.338434759,3.825632249,1.748655941,2.776079595,3.863907134,1.537482694,4.916148175,2.794208912,3.545440605
,,,,,,,,,,,,,,3y23y,3,26,4.307408172,3.80114985,1.7420441,2.751598708,3.854312988,1.538930095,4.932843764,2.771934835,3.524635223
,,,,,,,,,,,,,,3y24y,3,27,4.277887469,3.77627174,1.735387799,2.728052032,3.844122366,1.539313009,4.947416109,2.750888006,3.504499507
,,,,,,,,,,,,,,3y25y,3,28,4.249531376,3.751082867,1.728708282,2.705193574,3.833434112,1.538979762,4.960388579,2.730726644,3.48484167
,,,,,,,,,,,,,,3y26y,3,29,4.22201248,3.725664256,1.722027354,2.682782941,3.822338463,1.538278051,4.972268512,2.711114728,3.465472628
,,,,,,,,,,,,,,3y27y,3,30,4.195014655,3.700093743,1.715367282,2.660584289,3.810918648,1.537555067,4.983550192,2.691720922,3.446205491
,,,,,,,,,,,,,,4y1y,4,5,4.165046298,3.515807675,1.623212615,2.79577936,4.002605671,0.732745974,4.251270082,2.909787746,3.499858787
,,,,,,,,,,,,,,4y2y,4,6,4.284603689,3.586894519,1.660493047,2.820228791,3.924534876,0.833699265,4.378686193,2.918647493,3.523654615
,,,,,,,,,,,,,,4y3y,4,7,4.37357534,3.626643593,1.678703846,2.845231662,3.874559075,0.932109706,4.385636678,2.928851007,3.535790563
,,,,,,,,,,,,,,4y4y,4,8,4.441370927,3.685240755,1.694006193,2.873336926,3.848406172,1.009293199,4.428245706,2.949317977,3.550317358
,,,,,,,,,,,,,,4y5y,4,9,4.492549233,3.714474108,1.709632082,2.899791306,3.840847823,1.074989743,4.464900323,2.957229961,3.568181588
,,,,,,,,,,,,,,4y6y,4,10,4.526456714,3.73382769,1.726658569,2.931838981,3.847465553,1.137428595,4.499682003,2.976225446,3.586494928
,,,,,,,,,,,,,,4y7y,4,11,4.553969768,3.761335162,1.743565119,2.961914943,3.856932009,1.194691264,4.536422772,2.993184361,3.606242398
,,,,,,,,,,,,,,4y8y,4,12,4.576992339,3.795904605,1.759338204,2.987083504,3.8668611,1.24692328,4.574424319,3.004320729,3.626707609
,,,,,,,,,,,,,,4y9y,4,13,4.59457954,3.833282556,1.773245791,3.006174397,3.876755011,1.295100319,4.612877186,3.01024278,3.646265348
,,,,,,,,,,,,,,4y10y,4,14,4.60585701,3.869385236,1.784522459,3.017666712,3.885535906,1.340058169,4.650674176,3.010895815,3.663091802
,,,,,,,,,,,,,,4y11y,4,15,4.609988733,3.900222562,1.792384592,3.019848022,3.891809554,1.382556023,4.68654591,3.005863456,3.675254922
,,,,,,,,,,,,,,4y12y,4,16,4.606450192,3.922697981,1.79632436,3.011674839,3.894466384,1.422995173,4.719506724,2.994878386,3.681255042
,,,,,,,,,,,,,,4y13y,4,17,4.595842987,3.936972853,1.796928938,2.995039005,3.894088238,1.460545839,4.749967158,2.978928607,3.681459473
,,,,,,,,,,,,,,4y14y,4,18,4.578965574,3.943775409,1.794967611,2.972296652,3.891489902,1.494157774,4.778546394,2.959153253,3.676533094
,,,,,,,,,,,,,,4y15y,4,19,4.556545121,3.943624807,1.791130574,2.945567003,3.887313024,1.52285297,4.805737983,2.936540177,3.666992279
,,,,,,,,,,,,,,4y16y,4,20,4.529259797,3.936896353,1.786053684,2.91680684,3.882080239,1.545703017,4.831949094,2.911973285,3.653251288
,,,,,,,,,,,,,,4y17y,4,21,4.497876731,3.924056042,1.780260436,2.887615537,3.876169275,1.562160759,4.857405183,2.886240468,3.635785575
,,,,,,,,,,,,,,4y18y,4,22,4.463621784,3.906249569,1.773956785,2.858558055,3.869658678,1.573060006,4.881814997,2.859987813,3.61554043
,,,,,,,,,,,,,,4y19y,4,23,4.427801174,3.884722197,1.767269269,2.829944455,3.862533654,1.579528343,4.904758685,2.833804345,3.593529207
,,,,,,,,,,,,,,4y20y,4,24,4.39168655,3.86064617,1.760321802,2.802080582,3.85475624,1.582647264,4.925812822,2.808253784,3.570713884
,,,,,,,,,,,,,,4y21y,4,25,4.356523329,3.835138282,1.753236306,2.7752691,3.846270805,1.583463213,4.944551259,2.783880597,3.548017353
,,,,,,,,,,,,,,4y22y,4,26,4.323264235,3.809110954,1.746115728,2.749712286,3.837042212,1.582886381,4.960714688,2.76106353,3.526149146
,,,,,,,,,,,,,,4y23y,4,27,4.291770629,3.782805052,1.738992996,2.72522386,3.827159424,1.581374801,4.974708835,2.739574287,3.505072141
,,,,,,,,,,,,,,4y24y,4,28,4.261654567,3.756294422,1.731884949,2.701530807,3.816732615,1.579275094,4.987084627,2.719044274,3.484571368
,,,,,,,,,,,,,,4y25y,4,29,4.232549988,3.729650604,1.724809717,2.678370259,3.805861199,1.576933501,4.998371916,2.699115176,3.464438377
,,,,,,,,,,,,,,4y26y,4,30,4.204108496,3.702943288,1.717786475,2.655487532,3.794635902,1.574695962,5.009083529,2.679436975,3.444469974
,,,,,,,,,,,,,,5y1y,5,6,4.40416108,3.657981364,1.697773479,2.844678222,3.846464081,0.934652556,4.506102304,2.927507241,3.547450443
,,,,,,,,,,,,,,5y2y,5,7,4.477839861,3.682061552,1.706449462,2.869957813,3.810535777,1.031791572,4.452819976,2.938382638,3.553756451
,,,,,,,,,,,,,,5y3y,5,8,4.533479137,3.741718449,1.717604052,2.899189448,3.797006339,1.101475608,4.487237581,2.962494721,3.567136881
,,,,,,,,,,,,,,5y4y,5,9,4.574424966,3.764140716,1.731236948,2.925794292,3.80040836,1.160550685,4.518307884,2.969090515,3.585262289
,,,,,,,,,,,,,,5y5y,5,10,4.598738797,3.777431693,1.74734776,2.959050905,3.816437529,1.218365119,4.549364388,2.989512986,3.603822157
,,,,,,,,,,,,,,5y6y,5,11,4.618790347,3.80225641,1.76362387,2.989604207,3.832653065,1.271682145,4.58394822,3.007083797,3.623973
,,,,,,,,,,,,,,5y7y,5,12,4.635841774,3.835918453,1.778784717,3.014412667,3.847469019,1.320377181,4.62058921,3.017825441,3.644828869
,,,,,,,,,,,,,,5y8y,5,13,4.648271196,3.872966916,1.791999938,3.032473777,3.861023678,1.365394612,4.658078074,3.022799659,3.664566168
,,,,,,,,,,,,,,5y9y,5,14,4.654835977,3.908671632,1.802445775,3.042320862,3.872528154,1.407537302,4.695052408,3.022130045,3.681228804
,,,,,,,,,,,,,,5y10y,5,15,4.654482977,3.938664051,1.80930179,3.042254888,3.880729943,1.447537028,4.730073493,3.015471027,3.692794535
,,,,,,,,,,,,,,5y11y,5,16,4.646577818,3.959688009,1.812061791,3.031301701,3.884635539,1.4857451,4.762073691,3.002613898,3.697745611
,,,,,,,,,,,,,,5y12y,5,17,4.631742711,3.972069951,1.811405299,3.011643976,3.885045119,1.521195828,4.791525248,2.984690345,3.696592863
,,,,,,,,,,,,,,5y13y,5,18,4.610805519,3.976696004,1.808179534,2.985874905,3.882942535,1.552727912,4.819106111,2.9629506,3.690123426
,,,,,,,,,,,,,,5y14y,5,19,4.584509322,3.974183173,1.803124714,2.95626612,3.879077834,1.579289184,4.845342833,2.938451065,3.678930386
,,,,,,,,,,,,,,5y15y,5,20,4.553540697,3.964968931,1.796909756,2.924875339,3.87404521,1.599900153,4.870661028,2.912118987,3.663477454
,,,,,,,,,,,,,,5y16y,5,21,4.518678633,3.949571565,1.790075925,2.893355298,3.868267001,1.613999183,4.895288627,2.884768763,3.644280999
,,,,,,,,,,,,,,5y17y,5,22,4.481185048,3.929216739,1.782824089,2.86225092,3.861838266,1.622490243,4.918905874,2.857058405,3.622345233
,,,,,,,,,,,,,,5y18y,5,23,4.442398668,3.905217448,1.775272416,2.831842516,3.854751875,1.626571808,4.941063608,2.829583045,3.59873312
,,,,,,,,,,,,,,5y19y,5,24,4.403614984,3.878795564,1.767538075,2.802412225,3.846974691,1.62737891,4.961315071,2.802909891,3.5744431
,,,,,,,,,,,,,,5y20y,5,25,4.366097181,3.851104813,1.759737491,2.774243587,3.838454061,1.625999074,4.979215318,2.777585239,3.550425281
,,,,,,,,,,,,,,5y21y,5,26,4.330798422,3.823077777,1.751968257,2.747518616,3.829158238,1.623369257,4.994497765,2.753981425,3.527401068
,,,,,,,,,,,,,,5y22y,5,27,4.297530826,3.794941297,1.744255741,2.722016792,3.819184594,1.619948838,5.007592415,2.731837312,3.505309112
,,,,,,,,,,,,,,5y23y,5,28,4.265854927,3.766750367,1.736609833,2.697433044,3.808651177,1.616080708,5.019076564,2.710751079,3.483906698
