,Currency,Tenor,Tenor Ticker,yield,Rolldown,last_week_yield,ccy_test,last_week_rolldown
0,AUD,3M,ZI934320 Corp,4.245,,4.2589,False,
1,AUD,1Y,BH728232 Corp,4.494,0.249,4.5287,True,0.26980000000000004
2,AUD,2Y,BK467633 Corp,4.335,-0.159,4.4267,True,-0.10199999999999942
3,AUD,3Y,ZO541862 Corp,4.268,-0.067,4.3626,True,-0.06410000000000071
4,AUD,4Y,JV319866 Corp,4.307,0.039,4.4173,True,0.054700000000000415
5,AUD,5Y,AM564740 Corp,4.367,0.06,4.4967,True,0.07939999999999969
6,AUD,6Y,AQ762933 Corp,4.454,0.087,4.5985,True,0.10179999999999989
7,AUD,7Y,BJ391612 Corp,4.563,0.109,4.712,True,0.11350000000000016
8,AUD,8Y,ZO114556 Corp,4.639,0.076,4.7908,True,0.0788000000000002
9,AUD,9Y,BP026141 Corp,4.7,0.061,4.8529,True,0.062100000000000044
10,AUD,10Y,BV865034 Corp,4.722,0.022,4.8733,True,0.020400000000000418
11,AUD,12Y,EK821167 Corp,4.783,0.061,4.9386,True,0.06529999999999969
12,AUD,15Y,QJ152182 Corp,4.959,0.176,5.1276,True,0.18900000000000006
13,AUD,20Y,AT496992 Corp,5.032,0.073,5.2048,True,0.07719999999999949
14,AUD,30Y,BK467634 Corp,5.076,0.044,5.25,True,0.04520000000000035
15,CAD,3M,ZJ917482 Corp,4.982,,5.028,False,
16,CAD,6M,ZH417633 Corp,5.054,0.072,5.1,True,0.07200000000000006
17,CAD,1Y,ZH417632 Corp,4.982,-0.072,5.094,True,-0.005999999999999339
18,CAD,2Y,ZI172842 Corp,4.409,-0.573,4.655,True,-0.43900000000000006
19,CAD,3Y,BP100314 Corp,4.126,-0.283,4.411,True,-0.24400000000000066
20,CAD,4Y,BW506722 Corp,3.96,-0.166,4.232,True,-0.17899999999999938
21,CAD,5Y,ZK298609 Corp,3.837,-0.123,4.122,True,-0.11000000000000032
22,CAD,6Y,AZ801479 Corp,3.804,-0.033,4.071,True,-0.051000000000000156
23,CAD,7Y,ZO760437 Corp,3.806,0.002,4.075,True,0.004000000000000448
24,CAD,8Y,BS070923 Corp,3.816,0.01,4.084,True,0.008999999999999453
25,CAD,9Y,BY282503 Corp,3.82,0.004,4.073,True,-0.010999999999999233
26,CAD,10Y,ZJ077798 Corp,3.789,-0.031,4.036,True,-0.03700000000000081
27,CAD,20Y,EH402098 Corp,3.742,-0.047,3.997,True,-0.0389999999999997
28,CAD,30Y,BQ802174 Corp,3.601,-0.141,3.821,True,-0.1759999999999997
29,CHF,3M,ZH689575 Corp,1.601,,1.648,False,
30,CHF,6M,ZI990709 Corp,1.571,-0.03,1.572,True,-0.07599999999999985
31,CHF,1Y,EJ175271 Corp,1.545,-0.026,1.521,True,-0.051000000000000156
32,CHF,2Y,EJ749344 Corp,1.299,-0.246,1.198,True,-0.32299999999999995
33,CHF,3Y,EK272770 Corp,1.163,-0.136,1.047,True,-0.15100000000000002
34,CHF,4Y,EG555662 Corp,1.118,-0.045,1.016,True,-0.030999999999999917
35,CHF,5Y,EE190475 Corp,1.064,-0.054,0.959,True,-0.05700000000000005
36,CHF,6Y,LW361980 Corp,1.041,-0.023,0.957,True,-0.0020000000000000018
37,CHF,7Y,EK911264 Corp,1.059,0.018,0.967,True,0.010000000000000009
38,CHF,8Y,EI703556 Corp,1.118,0.059,1.006,True,0.039000000000000035
39,CHF,9Y,AT062170 Corp,1.156,0.038,1.074,True,0.06800000000000006
40,CHF,10Y,EC915295 Corp,1.176,0.02,1.092,True,0.018000000000000016
41,CHF,12Y,EF295541 Corp,1.246,0.07,1.101,True,0.008999999999999897
42,CHF,15Y,BZ664289 Corp,1.283,0.037,1.122,True,0.02100000000000013
43,CHF,20Y,ZK968846 Corp,1.284,0.001,1.151,True,0.028999999999999915
44,CHF,25Y,EC071583 Corp,1.238,-0.046,1.128,True,-0.02300000000000013
45,CHF,30Y,AN528255 Corp,1.203,-0.035,1.088,True,-0.039999999999999813
46,CHF,40Y,LW075987 Corp,1.146,-0.057,1.039,True,-0.049000000000000155
47,CHF,50Y,EK325640 Corp,1.102,-0.044,1.019,True,-0.020000000000000018
48,GER,1M,ZM574259 Corp,3.69,,3.684,False,
49,GER,3M,ZL003956 Corp,3.775,0.085,3.759,True,0.07499999999999973
50,GER,6M,ZK504301 Corp,3.77,-0.005,3.701,True,-0.05799999999999983
51,GER,9M,ZJ685937 Corp,3.713,-0.057,3.694,True,-0.007000000000000117
52,GER,1Y,ZH350644 Corp,3.645,-0.068,3.586,True,-0.1080000000000001
53,GER,2Y,ZH377511 Corp,3.008,-0.637,3.008,True,-0.5779999999999998
54,GER,3Y,BQ312492 Corp,2.777,-0.231,2.786,True,-0.22199999999999998
55,GER,4Y,BX303989 Corp,2.641,-0.136,2.672,True,-0.11399999999999988
56,GER,5Y,ZK885444 Corp,2.62,-0.021,2.665,True,-0.007000000000000117
57,GER,6Y,BZ636318 Corp,2.605,-0.015,2.661,True,-0.0040000000000000036
58,GER,7Y,ZJ879041 Corp,2.637,0.032,2.703,True,0.041999999999999815
59,GER,8Y,BP980366 Corp,2.615,-0.022,2.693,True,-0.009999999999999787
60,GER,9Y,BX334302 Corp,2.662,0.047,2.749,True,0.05600000000000005
61,GER,10Y,ZJ606779 Corp,2.733,0.071,2.82,True,0.07099999999999973
62,GER,15Y,BV982438 Corp,2.967,0.234,3.05,True,0.22999999999999998
63,GER,20Y,EI322934 Corp,3.01,0.043,3.096,True,0.04600000000000026
64,GER,25Y,AP115404 Corp,2.964,-0.046,3.063,True,-0.03299999999999992
65,GER,30Y,BY899086 Corp,2.997,0.033,3.099,True,0.03600000000000003
66,GBP,1M,ZK804788 Corp,5.47,,5.319,False,
67,GBP,3M,ZI084676 Corp,5.294,-0.176,5.347,True,0.02800000000000047
68,GBP,6M,ZH783240 Corp,5.366,0.072,5.399,True,0.0519999999999996
69,GBP,1Y,EK109396 Corp,4.995,-0.371,4.964,True,-0.4349999999999996
70,GBP,2Y,ZN905725 Corp,4.699,-0.296,4.768,True,-0.19600000000000062
71,GBP,3Y,BZ554885 Corp,4.424,-0.275,4.576,True,-0.19200000000000017
72,GBP,4Y,AM781675 Corp,4.211,-0.213,4.357,True,-0.21899999999999942
73,GBP,5Y,ZK981587 Corp,4.316,0.105,4.498,True,0.14100000000000001
74,GBP,6Y,BR181418 Corp,4.257,-0.059,4.43,True,-0.0680000000000005
75,GBP,7Y,BH295614 Corp,4.206,-0.051,4.387,True,-0.04300000000000015
76,GBP,8Y,BS656441 Corp,4.303,0.097,4.491,True,0.10400000000000009
77,GBP,9Y,EC256595 Corp,4.266,-0.037,4.45,True,-0.04099999999999948
78,GBP,10Y,ZN905632 Corp,4.369,0.103,4.558,True,0.10799999999999965
79,GBP,12Y,ZO277567 Corp,4.517,0.148,4.699,True,0.14100000000000001
80,GBP,15Y,BZ691391 Corp,4.694,0.177,4.883,True,0.18400000000000016
81,GBP,20Y,EG506481 Corp,4.812,0.118,4.995,True,0.1120000000000001
82,GBP,25Y,AU379648 Corp,4.831,0.019,5.016,True,0.020999999999999908
83,GBP,30Y,ZM382322 Corp,4.845,0.014,5.03,True,0.014000000000000234
84,GBP,40Y,ZK165791 Corp,4.744,-0.101,4.923,True,-0.1070000000000002
85,GBP,50Y,BU075688 Corp,4.402,-0.342,4.589,True,-0.33399999999999963
86,JGB,1M,ZI588846 Corp,-0.185,,-0.1885,False,
87,JGB,3M,ZH744069 Corp,-0.202,-0.017,-0.2037,True,-0.015199999999999991
88,JGB,6M,ZH183174 Corp,-0.132,0.07,-0.1436,True,0.06009999999999999
89,JGB,1Y,ZN003014 Corp,-0.027,0.105,-0.039,True,0.1046
90,JGB,2Y,ZH806302 Corp,0.129,0.156,,True,
91,JGB,3Y,QZ413850 Corp,0.189,0.06,0.16,True,
92,JGB,4Y,AP027592 Corp,0.302,0.113,0.266,True,0.10600000000000001
93,JGB,5Y,ZH437639 Corp,0.425,0.123,0.399,True,0.133
94,JGB,6Y,ZR885925 Corp,0.502,0.077,0.477,True,0.07799999999999996
95,JGB,7Y,BN361059 Corp,0.642,0.14,0.644,True,0.16700000000000004
96,JGB,8Y,BR788662 Corp,0.742,0.1,0.747,True,0.10299999999999998
97,JGB,9Y,BZ503564 Corp,0.836,0.094,0.847,True,0.09999999999999998
98,JGB,10Y,ZH264747 Corp,0.877,0.041,0.887,True,0.040000000000000036
99,JGB,15Y,AV122750 Corp,1.355,0.478,1.389,True,0.502
100,JGB,20Y,ZH548728 Corp,1.636,0.281,1.681,True,0.29200000000000004
101,JGB,30Y,ZH320472 Corp,1.825,0.189,1.851,True,0.16999999999999993
102,JGB,40Y,ZK786267 Corp,2.06,0.235,2.105,True,0.254
103,nzd,3M,ZM739209 Corp,5.557,,,False,
104,nzd,6M,ZK347427 Corp,5.428,-0.129,5.57,True,
105,nzd,1Y,ZH627388 Corp,5.333,-0.095,5.513,True,-0.057000000000000384
106,nzd,2Y,JK597058 Corp,5.382,0.049,5.603,True,0.08999999999999986
107,nzd,5Y,BM049358 Corp,4.991,-0.391,5.321,True,-0.28200000000000003
108,nzd,7Y,ZR609878 Corp,5.115,0.124,5.448,True,0.12700000000000067
109,nzd,10Y,QJ109447 Corp,5.165,0.05,5.498,True,0.04999999999999982
110,nzd,15Y,QZ292796 Corp,5.324,0.159,5.663,True,0.16500000000000004
111,nzd,20Y,BK432795 Corp,5.362,0.038,5.701,True,0.03799999999999937
112,nzd,30Y,BR221951 Corp,5.287,-0.075,5.625,True,-0.07599999999999962
113,sek,3M,ZH731537 Corp,3.998,,,False,
114,sek,6M,ZK784279 Corp,4.047,0.049,4.034,True,
115,sek,1Y,ZI673511 Corp,4.029,-0.018,4.035,True,0.001000000000000334
116,sek,2Y,EK041769 Corp,3.425,-0.604,3.461,True,-0.5740000000000003
117,sek,4Y,EK914594 Corp,3.026,-0.399,3.136,True,-0.32499999999999973
118,sek,5Y,AM216366 Corp,2.864,-0.162,2.99,True,-0.1459999999999999
119,sek,7Y,AS783715 Corp,2.819,-0.045,2.944,True,-0.04600000000000026
120,sek,8Y,BH066135 Corp,2.811,-0.008,2.942,True,-0.0019999999999997797
121,sek,9Y,EJ085746 Corp,2.811,0.0,2.951,True,0.008999999999999897
122,sek,10Y,BW183328 Corp,2.846,0.035,2.987,True,0.03600000000000003
123,sek,15Y,EH766910 Corp,2.966,0.12,3.094,True,0.10699999999999976
124,sek,25Y,BM603929 Corp,2.997,0.031,3.102,True,0.008000000000000007
125,sek,50Y,BQ090624 Corp,3.265,0.268,3.389,True,0.2869999999999999
126,BTP,3M,ZK770604 Corp,3.92,,3.81,False,
127,BTP,6M,ZH087117 Corp,3.918,-0.002,3.963,True,0.15300000000000002
128,BTP,1Y,ZH365012 Corp,3.856,-0.062,3.873,True,-0.08999999999999986
129,BTP,2Y,ZJ946458 Corp,3.779,-0.077,3.819,True,-0.05400000000000027
130,BTP,3Y,ZJ731593 Corp,3.769,-0.01,3.828,True,0.008999999999999897
131,BTP,4Y,AQ935391 Corp,3.85,0.081,3.947,True,0.11900000000000022
132,BTP,5Y,ZH117239 Corp,4.035,0.185,4.14,True,0.19299999999999962
133,BTP,6Y,ZN261333 Corp,4.124,0.089,4.254,True,0.11399999999999988
134,BTP,7Y,ZI836658 Corp,4.256,0.132,4.384,True,0.13000000000000078
135,BTP,8Y,BP968841 Corp,4.332,0.076,4.475,True,0.0909999999999993
136,BTP,9Y,BW152567 Corp,4.446,0.114,4.596,True,0.12100000000000044
137,BTP,10Y,ZI608433 Corp,4.634,0.188,4.789,True,0.19299999999999962
138,BTP,15Y,BW763624 Corp,4.915,0.281,5.052,True,0.2629999999999999
139,BTP,20Y,ZM337817 Corp,5.07,0.155,5.204,True,0.15200000000000014
140,BTP,25Y,AX099966 Corp,5.023,-0.047,5.175,True,-0.028999999999999915
141,BTP,30Y,ZL106368 Corp,5.129,0.106,5.276,True,0.10099999999999998
142,BTP,50Y,BO952242 Corp,4.701,-0.428,4.838,True,-0.4379999999999997
